0,17019150,17019,17
1,17019150,17019,17
2,14021712,14021,14
3,17020862,17020,17
4,32010258,32010,32
5,17019325,17019,17
6,17019073,17019,17
7,17018600,17018,17
8,14022047,14022,14
9,17018470,17018,17
10,17018231,17018,17
11,17018633,17018,17
12,13981741,13981,13
13,17010436,17010,17
14,17018330,17018,17
15,14019243,14019,14
16,17017796,17017,17
17,17019880,17019,17
18,14019668,14019,14
19,17018528,17018,17
20,17017998,17017,17
21,17018713,17018,17
22,14020303,14020,14
23,20016743,20016,20
24,14021207,14021,14
25,17017716,17017,17
26,17022714,17022,17
27,14020938,14020,14
28,17019245,17019,17
29,17019235,17019,17
30,17018293,17018,17
31,14021885,14021,14
32,17018071,17018,17
33,17018555,17018,17
34,14021337,14021,14
35,17019397,17019,17
36,17018113,17018,17
37,14020510,14020,14
38,17018016,17018,17
39,328866586,328866,328
40,17018575,17018,17
41,17018568,17018,17
42,23007001,23007,23
43,26014055,26014,26
44,17019687,17019,17
45,14021717,14021,14
46,17019672,17019,17
47,17021649,17021,17
48,17025297,17025,17
49,17018161,17018,17
50,17024220,17024,17
51,17019982,17019,17
52,17027099,17027,17
53,14023109,14023,14
54,17018835,17018,17
55,17019025,17019,17
56,17010414,17010,17
57,17018905,17018,17
58,17018950,17018,17
59,17018848,17018,17
60,14022197,14022,14
61,17020189,17020,17
62,17019547,17019,17
63,17018510,17018,17
64,17018905,17018,17
65,17029723,17029,17
66,17019432,17019,17
67,14002935,14002,14
68,17019088,17019,17
69,17022309,17022,17
70,17019542,17019,17
71,17018968,17018,17
72,17018550,17018,17
73,14018928,14018,14
74,17018683,17018,17
75,17018473,17018,17
76,14020613,14020,14
77,17019033,17019,17
78,334865610,334865,334
79,17018860,17018,17
80,14022882,14022,14
81,17019273,17019,17
82,17018760,17018,17
83,17018830,17018,17
84,14020685,14020,14
85,30982465,30982,30
86,16019228,16019,16
87,17019105,17019,17
88,14021505,14021,14
89,17022853,17022,17
90,17018705,17018,17
91,17019715,17019,17
92,14022412,14022,14
93,17018793,17018,17
94,17018408,17018,17
95,17025240,17025,17
96,17019565,17019,17
97,17017888,17017,17
98,17019245,17019,17
99,17018978,17018,17
100,17019747,17019,17
101,14022069,14022,14
102,17019575,17019,17
103,17022704,17022,17
104,17018733,17018,17
105,17020207,17020,17
106,17019273,17019,17
107,17025230,17025,17
108,14021302,14021,14
109,17019253,17019,17
110,17018475,17018,17
111,14019935,14019,14
112,14020870,14020,14
113,17019165,17019,17
114,14020788,14020,14
115,14021375,14021,14
116,17018735,17018,17
117,286887629,286887,286
118,17018130,17018,17
119,17020345,17020,17
120,14021417,14021,14
121,17022036,17022,17
122,14021522,14021,14
123,26014435,26014,26
124,17018913,17018,17
125,14020783,14020,14
126,17020797,17020,17
127,17022524,17022,17
128,17018061,17018,17
129,17018900,17018,17
130,14022192,14022,14
131,17025233,17025,17
132,17021174,17021,17
133,17025585,17025,17
134,14022752,14022,14
135,17019038,17019,17
136,17020514,17020,17
137,17019905,17019,17
138,17019857,17019,17
139,17018703,17018,17
140,17017428,17017,17
141,17043700,17043,17
142,17019023,17019,17
143,14020933,14020,14
144,17018350,17018,17
145,17020717,17020,17
146,17019088,17019,17
147,17019370,17019,17
148,7926896,7926,7
149,17018770,17018,17
150,17015756,17015,17
151,17019300,17019,17
152,17019447,17019,17
153,14021332,14021,14
154,17019662,17019,17
155,17011806,17011,17
156,17018663,17018,17
157,14027750,14027,14
158,343858085,343858,343
159,17024765,17024,17
160,17019372,17019,17
161,14021312,14021,14
162,17020110,17020,17
163,17019228,17019,17
164,17025247,17025,17
165,17098335,17098,17
166,14021867,14021,14
167,17019795,17019,17
168,17018898,17018,17
169,17023963,17023,17
170,14021967,14021,14
171,17018575,17018,17
172,17025533,17025,17
173,14022632,14022,14
174,17018488,17018,17
175,17019607,17019,17
176,14022357,14022,14
177,17019365,17019,17
178,17018723,17018,17
179,14021497,14021,14
180,17018968,17018,17
181,17000335,17000,17
182,14021432,14021,14
183,17018760,17018,17
184,17022109,17022,17
185,17021239,17021,17
186,17018303,17018,17
187,14022659,14022,14
188,17018973,17018,17
189,17019080,17019,17
190,14020948,14020,14
191,17019350,17019,17
192,17018271,17018,17
193,14021380,14021,14
194,17021029,17021,17
195,17019520,17019,17
196,14021100,14021,14
197,301881216,301881,301
198,17010866,17010,17
199,14020795,14020,14
200,14021362,14021,14
201,17019927,17019,17
202,17018843,17018,17
203,26016489,26016,26
204,17020057,17020,17
205,17018315,17018,17
